"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene symbol","Gene ID","Gene title","gene_symbol_primary"
"221163_s_at",0.0390183177999965,5.92033292281356,0.68756656430887,0.494321502379931,0.952376385311246,-5.28826247311546,"MLXIPL","51085","MLX interacting protein like","MLXIPL"
"202569_s_at",0.0380689358171047,9.43751476116949,0.687098919418577,0.494614067480918,0.952376385311246,-5.28853186465853,"MARK3","4140","microtubule affinity regulating kinase 3","MARK3"
"221973_at",-0.0689963123434154,9.23977103545763,-0.687005304957133,0.494672645373005,0.952376385311246,-5.28858577058661,"LOC100506123///LOC100506076","100506123///100506076","uncharacterized LOC100506123///uncharacterized LOC100506076","LOC100506123"
"203892_at",-0.0426789620302603,5.81940049659322,-0.686904210709517,0.49473590790008,0.952376385311246,-5.28864397549174,"WFDC2","10406","WAP four-disulfide core domain 2","WFDC2"
"214820_at",-0.0917181010736794,7.3972319470339,-0.686902908000484,0.494736723135276,0.952376385311246,-5.28864472547018,"BRWD1","54014","bromodomain and WD repeat domain containing 1","BRWD1"
"215909_x_at",-0.0522197267460545,8.62167179284746,-0.686902105825979,0.494737225136375,0.952376385311246,-5.28864518728679,"MINK1","50488","misshapen like kinase 1","MINK1"
"37966_at",-0.109502657101311,8.0117656509661,-0.686807010623323,0.494796737725834,0.952376385311246,-5.28869993040494,"PARVB","29780","parvin beta","PARVB"
"216532_x_at",0.0630508486565802,5.19617306144068,0.686795454217165,0.49480397023643,0.952376385311246,-5.28870658253302,"","","",""
"201084_s_at",0.0784933441815792,10.5944966739322,0.686589652862211,0.494932779531043,0.952376385311246,-5.28882502802496,"BCLAF1","9774","BCL2 associated transcription factor 1","BCLAF1"
"205876_at",0.0573274423934209,3.38265392527119,0.686573310958702,0.494943008574414,0.952376385311246,-5.28883443183724,"LIFR","3977","leukemia inhibitory factor receptor alpha","LIFR"
"212455_at",0.0472859121578946,12.7663938723729,0.686383856497575,0.495061604059683,0.952376385311246,-5.28894343578188,"YTHDC1","91746","YTH domain containing 1","YTHDC1"
"207824_s_at",0.0591450284842088,5.94214405871186,0.686353501494542,0.495080607255594,0.952376385311246,-5.28896089799822,"MAZ","4150","MYC associated zinc finger protein","MAZ"
"216947_at",0.118511300911841,4.30388221394915,0.686351949162379,0.495081579075559,0.952376385311246,-5.28896179098252,"DES","1674","desmin","DES"
"215669_at",0.11124069750658,4.46232705740678,0.686332471056862,0.495093773211626,0.952376385311246,-5.28897299565971,"HLA-DRB4","3126","major histocompatibility complex, class II, DR beta 4","HLA-DRB4"
"209322_s_at",-0.0517221294407859,7.34797183384746,-0.686296858271015,0.495116068780171,0.952376385311246,-5.2889934809189,"SH2B1","25970","SH2B adaptor protein 1","SH2B1"
"214091_s_at",0.094686562380268,6.07046617347458,0.68625902468919,0.495139755291591,0.952376385311246,-5.28901524248519,"GPX3","2878","glutathione peroxidase 3","GPX3"
"202580_x_at",-0.0561450081342096,7.65663757738983,-0.686189459347818,0.495183309758734,0.952376385311246,-5.28905525282449,"FOXM1","2305","forkhead box M1","FOXM1"
"206499_s_at",0.0666597196723711,8.21561848133898,0.686097331009809,0.495240994017998,0.952376385311246,-5.28910823408588,"RCC1","1104","regulator of chromosome condensation 1","RCC1"
"210159_s_at",0.0418137660671025,5.91627499813559,0.686048613598353,0.495271498907219,0.952376385311246,-5.28913624772183,"TRIM31","11074","tripartite motif containing 31","TRIM31"
"217215_s_at",-0.0547104299631589,2.76778474133898,-0.686033568350111,0.495280919846096,0.952376385311246,-5.28914489869194,"","","",""
"201914_s_at",0.0589665559039503,9.94359862345763,0.685999646673112,0.49530216106819,0.952376385311246,-5.28916440286516,"SEC63","11231","SEC63 homolog, protein translocation regulator","SEC63"
"216814_at",0.0603647622802646,3.22848419445763,0.68594761641692,0.495334742567322,0.952376385311246,-5.28919431720842,"","","",""
"204995_at",0.0964948607131664,9.25563674328814,0.685919567207354,0.495352307551236,0.952376385311246,-5.28921044293298,"CDK5R1","8851","cyclin dependent kinase 5 regulatory subunit 1","CDK5R1"
"205270_s_at",0.0454133399078955,12.0612017118644,0.685872239587006,0.495381945839723,0.952376385311246,-5.28923765050836,"LCP2","3937","lymphocyte cytosolic protein 2","LCP2"
"213608_s_at",0.117596850223682,10.5184917396441,0.685833366972794,0.495406290019647,0.952376385311246,-5.28925999611329,"SRRD","402055","SRR1 domain containing","SRRD"
"203790_s_at",0.0935404357776308,7.01807442454237,0.685793184364219,0.495431455278518,0.952376385311246,-5.28928309345027,"RIDA","10247","reactive intermediate imine deaminase A homolog","RIDA"
"218332_at",-0.125216466336839,4.96352165018644,-0.685766422627865,0.495448215803516,0.952376385311246,-5.28929847560772,"BEX1","55859","brain expressed X-linked 1","BEX1"
"201082_s_at",0.0854364329223678,9.19452015742373,0.685696249982022,0.495492165485854,0.952376385311246,-5.28933880676355,"SLC4A5///DCTN1","57835///1639","solute carrier family 4 member 5///dynactin subunit 1","SLC4A5"
